name,email,age
Alice,alice@example.com,30
Bob,bob@test.com,25
Charlie,charlie@random.org,invalid
Emma,,45
Henry,henry@sample.net,
Grace,grace@example.com,29
Jack,jack@test.com,invalid
Sophia,sophia@mail.com,22
Daniel,,invalid
Olivia,olivia@example.net,27
Liam,liam@website.org,
Mia,,33
Noah,noah@something.com,invalid
Isabella,isabella@mail.com,30
Ethan,ethan@test.com,
Ava,ava@example.com,40
Mason,mason@random.net,invalid
Harper,,21
Lucas,lucas@test.com,26
Amelia,amelia@website.org,invalid
Benjamin,benjamin@sample.com,35
Charlotte,,42
James,james@example.net,invalid
Evelyn,evelyn@random.com,37
Alexander,,invalid
Sofia,sofia@mail.com,28
Michael,michael@site.com,31
Ella,,invalid
William,william@example.com,50
Abigail,abigail@random.org,
Logan,logan@test.com,invalid
Emily,emily@example.net,23
Jackson,,invalid
Scarlett,scarlett@random.com,24
Sebastian,sebastian@sample.net,invalid
Madison,madison@mail.com,41
David,david@website.org,
Luna,luna@example.com,29
Joseph,joseph@random.com,invalid
Aria,,38
Samuel,samuel@site.com,39
Zoe,zoe@sample.net,invalid
Matthew,matthew@random.org,34
Aubrey,,27
Leo,leo@example.com,invalid
Hannah,hannah@website.org,48
Owen,owen@random.com,
Layla,layla@site.com,invalid
Wyatt,wyatt@example.net,32
Mila,,invalid
Isaac,isaac@random.org,44
Penelope,penelope@website.org,invalid
Nathan,nathan@sample.com,36
Victoria,,25
Caleb,caleb@random.net,invalid
Addison,addison@site.com,30
Elijah,elijah@example.com,
